"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"516119",18,54,133,20,68.18,12,19,94,4,9,107,90,63,100.11,100,126.1,22,119.95,11,78,140,0.72,0.06,86,325,48,38,347.04,240.93,0,95,45,111,1.24,77,34,14.57,33,154.81,77,58,34,8.71,17,8,146,15,52,140,116,153.79,24,5,2,97,4,264,152,52,28,153,19,12,20,4.82,120,1,11,164.55,13,171,0.31,4,29,145.76,141,23,48,7,132.26
"79234",3,2,1,17,1.46,0.13,0,2.18,0.97,0.1,2,5,0.62,1,7,0.29,4,11,16,8,34,18,0.09,3,35,0.02,2,7,5,0.45,12,5,37,7,16,5,0,11,32.65,0,9,7,3,1,0.33,3,37.28,4.23,60,22.33,32.43,1.1,0.03,1,3,0,0.86,1,0.2,44,7,1,2,0.02,0,0.01,4,31,20,2,2,14,1,2,1,52,3,0.07,0.08,9
"3957",0,0,0,0,0,0.05,0.01,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"236202",0.09,1,0.01,0,18,3,3,0,0,0.01,5,0,7,0,0,0,0,0,0,0.03,0,0,0,0,0,10,0,1,1,0,0,2,0.15,0,0,2,0,0,0,0.03,0,0,0,0,13.47,0,1,2,1,0.04,0.02,0.01,0,1,2,1.81,0,0,0,1,0,3,0.05,0,10,0.01,0.01,0,0,0,0,0,1,0.01,0,0,1,0.02,0.08,0
"175537",0,0,0,0,0,0,0,0,0,0,0,0.11,0.01,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"179460",0,0,0,0,0,0,2,0,0.01,0,0,0,0.01,0.06,0,0,0,2,0,0,0,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"470738",247.06,22,0.19,27,0,32.9,388,2.42,9,5,1,13,168,43,28.33,6,97,42,0,145,79,96,89,1,411,377.8,78,424,233,5,90,1.08,126,43,4,3.61,570,181.24,197,218.2,25,0.05,175.83,9,541,0.63,282,6.02,1629,263,270.5,17,713,5,1.52,0,0.95,0.01,1,229,0.21,259,506,723,0.43,213,635,0.04,0.59,24,176,5,14,81,151,3,14,0.12,271,2.11
"295019",0,0,0.01,0,0,0.01,0,0,2,0,0,0,0,0.01,0,4,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64396",0.09,75,37,12,6.47,20,3,16,61,47.69,3,1,4.32,48,32,73,2,38,54,5.51,0.28,3,119.41,91,15,0.91,1,39,7,30,0.02,7,92,6,37.85,103,38,47,0,21,19,428,58,1,16.52,30,2,68.08,4,38,82,20,9,13,0,7.11,1,69,0.08,0.02,8,7.89,34,31,0,41,3,16,215.34,11,28.1,4,145,19,1,8,24,463,1,5.22
"525269",0,1,0,0,0,0,0,0,0,0,0.07,0,0,3,0,0,0,0,0,2,0,0,0,0.01,0,0,0,0,0,0,0,0,6,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,1,0,0,0,0
