"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu118",195,66,329,0,50,9,34,48,116,24,67,0,39,31,17,0,71,14,0,33,46,1,43,50,0,135,19,0,15,186,43,72,100,18,0,9,76,118,0,23,0,0,11,0,57,0,14,14,0,0,0,54,0,71,0,0,0,0,0,32,4,0,0,2,0,0,0,0,0,0,0,0
"Otu365",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,137,0,0,0,11,0,0,0,0,0,0,6,0,0
"Otu198",62,46,8,72,0,0,17,61,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,97,0,0,16,389,0,0,0,0,0,0,52,34,0,0,0,0,0,0,6,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0
"Otu811",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu347",0,0,0,0,5,0,0,0,1,0,8,1,0,0,12,0,45,0,1,8,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,43,8,0,3,36,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,2,0,2,0,0,0,0,67
"Otu434",0,0,0,0,51,0,0,0,0,0,0,0,33,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,9,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"Otu796",0,0,0,0,0,0,2,0,1,1,0,1,0,9,0,4,0,0,2,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu455",0,0,0,0,0,0,0,0,0,0,0,0,47,11,0,0,0,0,0,0,0,0,1,0,0,21,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu55",0,0,0,0,56,0,0,9,74,43,0,130,1,1,31,0,27,119,0,0,23,71,255,61,0,10,3,76,31,3,0,0,0,0,0,0,0,47,0,0,81,3,17,541,2,0,3,0,0,4,0,0,0,0,42,371,7,0,0,0,0,123,0,0,0,0,0,0,112,0,0,0
"Otu878",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"Otu217",0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu286",2,1,3,0,0,0,0,11,4,7,3,1,0,9,0,0,0,10,5,6,0,0,6,1,0,0,0,0,2,4,3,4,0,4,5,2,7,0,0,5,0,0,2,0,0,0,7,4,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu503",9,8,1,0,0,2,0,5,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu113",7,32,0,0,0,6,15,0,11,6,7,12,30,4,11,3,11,2,13,15,4,5,0,18,0,20,5,42,4,13,2,0,0,1,4,0,12,21,17,11,9,4,0,8,1,2,7,2,0,0,7,4,0,0,3,0,0,37,0,0,0,6,0,11,0,11,0,3,0,0,0,0
"Otu97",178,19,27,2,0,2,0,60,0,34,0,0,0,0,2,2,143,1,0,8,15,0,0,25,33,0,25,6,122,122,0,5,0,0,0,0,0,0,0,0,0,9,78,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu124",48,43,186,0,0,9,9,48,0,0,0,35,15,2,0,8,36,27,0,28,2,4,62,4,3,4,67,0,14,5,0,8,0,0,11,7,7,0,0,8,0,0,0,0,6,0,35,4,0,3,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu534",0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,65,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu672",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,3,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,0,11,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
"Otu37",0,2,0,1427,0,0,68,0,0,0,0,1913,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu139",6,3,9,0,17,4,5,13,2,9,57,6,29,0,3,1,31,1,8,7,4,40,44,0,35,32,5,0,15,9,4,55,1,1,0,8,0,12,11,6,23,9,0,5,33,17,1,0,2,0,0,3,11,2,0,7,0,0,0,0,1,5,0,13,16,0,39,8,0,0,0,0
"Otu859",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,1,0,57,0,1
"Otu794",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"Otu379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,1,0,0,0,4,17,0,12,53,0,0
"Otu86",16,7,5,0,43,2,2,15,0,107,14,89,7,23,19,5,10,77,90,12,0,8,137,12,0,14,14,5,7,0,0,48,11,21,14,26,44,16,13,3,0,11,0,66,0,1,3,13,0,16,0,5,34,50,3,9,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,14
"Otu56",0,26,0,0,0,0,350,0,0,0,0,470,0,0,0,0,0,0,0,30,0,0,0,0,0,0,32,32,0,0,26,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu685",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,6,0,0,0,0
