"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"167727",2,0.01,0,0,0,0.04,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,1,0,0,0,0.01,0.02,0,0,1,0,2,2,0,0,0.59,0,0,0,0,0,0,0.04,0,0,4,0,1,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0.05,0.01,0,0,0,0,0,0,0,3,0,0,0,0
"539382",0.01,0,0,0,3,0,1,1,1,0,0.08,0.01,0.01,0,1,0.07,0.16,0.01,0,0.05,0,0,0.03,0,0.09,0.34,0,2,0.02,0.03,0,0.01,0.05,0,0,0,0,0,0,0.01,0,0.04,0.56,4,0.01,0.01,0,0.03,0.04,0,0.09,1,0,0,0,1,0,0,0.06,0.26,0.01,0,0,2,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0
"506496",1,2,0,0.01,0,1,0,0,1,0,0.87,0,0,0,0.04,0,0,0,0,0,0.01,0,0.13,0,1,0.01,0,0,0,0,0,0,0,1,0,0.01,0.86,0.02,0,5,1.33,0.02,0.07,0,1,0,0.01,0,0.19,0.02,0,12,0,2,0.15,0.01,0,1,0.16,0.03,0.07,9.17,0,0,1,0.01,0.02,0.03,0.07,0,1,5,0,0.06,29.1,0.09,1,0,1,177.92
"212042",0,4,1,0.01,0,1,148.11,0.05,0,1,0.01,0,0,0.01,0.03,0,0,268.83,0,0.06,0.31,0.02,0.01,53,1,0.09,0,0,0.03,1,1,2.03,0.02,0.04,128,4,0.22,0.4,0.35,7,65,34.13,0.01,0.1,0.03,10,174,4,1,12,0,4.23,112,46,0.56,457.74,0,1.19,1.44,7.48,0.04,1.65,1,0,0,14,5.22,1.94,5.97,33,0.02,33.53,26,37.84,71,13.56,3.86,688,0,81
"205241",0.06,2,0,1,0,0,0,1,0.01,0,2,1,0,0.01,1,0,0,0.02,0.03,0.14,0.01,0,1,0.06,1,0,0,2.86,3,0,0,0.01,0.01,0,0,0.01,0,1,0.01,1,0,0,0,0.02,0.04,0,0,1,0.19,0.01,0.04,0.08,0.15,3,0.02,1,0.07,0.05,0.01,0.13,0,4,0,0.01,0.04,0,0,0.05,0.08,0,20.19,0,0.1,0,0,0.23,0,0,0,0
"320055",0.01,0.05,0.02,1,0,1.31,1,2,1,2,1,1,0,1,1,0.25,1.62,0.01,0.14,0.1,2,0.02,0.13,0.03,0.04,8,4,0.01,0.79,2,3,0,0.15,1,2,1.11,0.07,1.83,1,0.18,0,1,1,1,0.02,1.65,1,2.18,0.41,0.55,1,0.01,0.74,0.02,6,0.02,0.02,0,0.08,0.01,0.01,0.05,0.68,0.01,0.18,0,0.06,0.01,2,0.1,0,0,0,0,0,0,0.05,0.03,0,0
"470973",13,1,1.94,54,0,9,62,0.01,8,21,352.06,7.6,3.2,4,8,6,1,5,0.01,6,12,12,0.05,129,0.07,23,0.79,2.05,1,67,26,68.06,0,0.2,0.14,12,134.65,0,0.05,136,1,50,0.21,0.11,0.01,35,1.4,2,23,17,0.02,11,1,21.42,1.47,9,0.1,0.04,0.02,1.14,3,23.36,51.75,0.85,42,1.17,14.93,22,0.06,0,0.02,24.71,7,0.11,5,0.75,15,1,0.01,182.7
"469888",1,0,0,0.01,0,0,0.21,0.03,0.04,0.67,6,0.01,0,0,0.23,2,0,26.82,0,1.24,0,0,0,3.26,5,25,0,4.79,1,0.06,0,0.69,0.02,0.02,38,0.11,0.1,0,8,22,0.02,0.39,0.01,6,0.02,0.02,0.09,1,1,0.22,0.02,67,10,0.28,19,6,0.01,0.45,7.9,0.58,0.03,0.13,0,0.04,1,0.01,6,45.57,0,3,0.16,0,2.64,0,0,1,0.46,0,0,0
"522135",0,3,0.01,1,0,0,0,0.01,0.02,2,0.01,1,0,0.01,0,0.01,0,0.01,2,0.01,0.01,1,2,0.14,0,0,0,0,0,0.01,0,0,0.12,0,0,0,0,0,0,0,0.52,4,0.01,0,0.03,0,0,1,0.03,0,1,0,0.02,1,0,0,0,1,0,2,0,0.23,0,0,0,0.06,0,0.01,1,0.01,0.02,3,0,2.75,5.06,0,0.03,0.02,0,6.18
"261912",0.89,29,2,16,2,54,2,19,32,42,0.22,20,7,27,9,7,11,135.16,231.26,21,22,59,354.61,162.98,0.58,162,10,1,2,16,59,32,29,91.04,10.66,11,48,5.55,10,30.18,0.11,0.03,212.99,10.13,14,19,46,89,4.64,120.26,4,93,98.24,0.49,204,0,6,58,6,42,1.43,0.01,44.96,5,0.01,134,26,6.55,0.02,42,0.05,0.06,0,0.06,0,0.03,0,0,0,0
"526531",5,0.03,36,5,7,0.23,0,2,5.18,63,150,44,3,88,0.37,0.02,5.38,0.02,155,0.01,128,0.08,17,0.01,0.08,0.01,1,0.27,0.07,0,0.25,0.17,134,211.83,0,0.02,36.05,18,0.05,166,8.04,0,0.03,0,5,0,0.16,0,14.51,154.23,6.91,0.1,0.31,0,1,0,4,0.06,0.16,246,0.06,0,0,0.01,66.69,576,0.01,0,0.03,0,4.15,39.23,0,0.11,0.01,0,39,0,0,0.66
"563572",0.05,1,0.01,4,1,4,1,0.09,0,0.02,2,2,1,0.22,1,0.75,0.44,0,0.13,3,1,2,0.01,0,0,0.06,1,0.03,0.19,2.39,1,0.02,0.01,0.46,0,0.01,1,2,0.01,0.02,0.05,0,0,0,0,0.01,1,0.06,0,0.78,0.01,0,0.02,0.01,0.21,0,0.12,0,0,0,0,0,1,0.01,0.93,0.15,0,0,0,0.24,0.01,0.08,0.02,0,0.01,0,1,0.1,0,1
"298635",3,4,0,0.04,2,0,0,2,0,0,0.33,0.13,4,1,2,0,1,0,0.03,3,0.14,0,0,0.1,0,0.03,0.36,0.02,0.02,0,0.03,0.05,0,0,0,0,0.05,0,0,0,0,1,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0.01,0,0,0,0,0,0.38,0,0.01,3,0,0,0.05,0,0,0,0,1,0,0,0,1.22,0,0,0
